artist,genre,lyric,title
Pikeno e Menor,Funk,"Eu ouvi palavras ditas com carinho,De que na vida ninguém é feliz sozinho,E você é um alguém que sempre me fez bem,Me protegeu e me tirou de todo perigo,E quando eu precisei você chorou comigo,Valeu por você existir, é tão bom te ter aqui,Eu rezo e peço pra Deus cuidar,A sua vida abençoar,Vou correr por você até o fim,Me quis tirar do mal, eu percebi,Disse verdades que eu mereci,Então pra sempre amigos, sim,Se Deus quiser,Vou ter você guardado no meu coração,Até nos seus conselhos de irmão,E é pra você que eu dedico essa canção,Eu rezo e peço pra Deus cuidar, cuidar,A sua vida abençoar, abençoar,Vou correr por você até o fim,Assim eu sei que pra você também,Sou alguém que te faz tão bem,Mais que amigo e irmão meu, valeu,Eu rezo e peço pra Deus cuidar, cuidar,A sua vida abençoar, abençoar,Vou correr por você até o fim,Assim eu sei que pra você também,Sou alguém que te faz tão bem,Mais que amigo e irmão meu, valeu,Quando todos se forem, eu vou estar lá com você,Amigos até depois do fim,Valeu, amigo!","Valeu, Amigo"
Mc K9,Funk,"Louca, louquinha,Dá uma empinadinha,Dá uma agachadinha,Você tá soltinha,Tu tá louca, hein!,Louca, louquinha,Tá louquinha,Dá uma empinadinha,Safadinha,Dá uma sentadinha,Tá soltinha,Você tá doidinha,Que isso, amor!,Mais uma do K9,Que eu preparei pra elas,Meninas assanhada,Empina, vai, se movimenta,Mais uma do K9,Que eu preparei pra elas,Meninas assanhada,Empina, vai, se movimenta,Quero ver se tu aguenta, tá?,Empina, vai, se movimenta,Empina, vai, se movimenta,Empina, vai, se movimenta,Se movimenta, movimenta,Empina, vai, se movimenta,Empina, vai, se movimenta,Empina, vai, se movimenta,Se movimenta, movimenta,Louca, louquinha,Tá louquinha,Dá uma empinadinha,Safadinha,Dá uma sentadinha,Tá soltinha,Você tá doidinha,Que isso, amor?,Louca, louquinha,Que que isso,Empinadinha,Que que isso,Agachadinha,Que que isso,Tá soltinha,Tá soltinha,Então vem,Louca,Tá louquinha,Tá louquinha,Que que isso,Tu tá louca, hein!,Tá louca, hein!,Tá louca, hein!,Empina, vai, se movimenta,Empina, vai, se movimenta,Mais uma do K9,Que eu preparei pra elas,Meninas assanhada,Empina, vai, se movimenta,Mais uma do K9,Que eu preparei pra elas,Meninas assanhada,Empina, vai, se movimenta,Quero ver se tu aguenta, tá?,Empina, vai, se movimenta,Empina, vai, se movimenta,Empina, vai, se movimenta,Se movimenta, movimenta,Empina, vai, se movimenta,Empina, vai, se movimenta,Empina, vai, se movimenta,Se movimenta, movimenta,Louca, louquinha,Tá louquinha,Dá uma empinadinha,Safadinha,Dá uma sentadinha,Tá soltinha,Você tá doidinha,Que isso, amor?,Louca, louquinha,Que que isso,Empinadinha,Que que isso,Agachadinha,que que isso,Tá soltinha,Tá soltinha,Então vem,Louca,Tá louquinha,Tá louquinha,Que que isso,Tu tá louca, hein!",Louquinha
Thiaguinho MT,Funk,"É hoje que ele paga todo o mal que ele te fez,É hoje que ele paga todo o mal que ele te fez,Cabelo ok, marquinha ok, sobrancelha ok, a unha tá ok,Brota no bailão, pro desespero do seu ex,Brota no bailão, pro desespero do seu ex,É hoje que ele paga todo o mal que ele te fez,É hoje que ele paga todo o mal que ele te fez,Cabelo ok, sobrancelha ok, maquiagem ok, a unha tá ok,Brota no bailão, pro desespero do seu ex,Brota no bailão, pro desespero do seu ex,Brota-brota no bailão pro desespero do seu ex,Brota-brota no bailão pro desespero do seu ex,Se ele te trombar, vai se arrepender,Uma bebê dessas, nunca mais ele vai ter,Uma-uma bebê dessas, nunca mais ele vai ter,Uma-uma bebê dessas, nunca mais ele vai ter,Vai ter, uma bê-bê-bê, vai ter,Uma-uma bebê dessas, nunca mais ele vai ter,Uma bebê dessas, nunca mais ele vai ter,Uma-uma-uma bebê dessas, nunca mais ele vai ter,Uma-uma bebê dessas, nunca mais ele vai ter",Tudo OK (part. Mila e JS O Mão de Ouro)
MC Bruninho,Funk,"Olha aonde eu vim parar,Mais uma vez, o coração se apaixonou pela pessoa errada,Mas como eu ia imaginar,Que no lugar do coração da princesinha não existia nada?,Tudo bem (tudo bem),Você tá me ensinando mesmo sem saber,E é com teu desprezo que eu vou te esquecer,Espera mais um pouco e tu vai ver,O amor que eu sinto por você,Nada disso você deve entender,O teu jogo eu sei jogar, mas nunca vou ganhar,Porque você não sabe o sentido de amar,O amor que eu sinto por você,Nada disso você deve entender,O teu jogo eu sei jogar, mas nunca vou ganhar,Porque você não sabe o sentido de amar",Jogo do Amor
MC Neguinho do Kaxeta,Funk,"Preta, lembra de quando o frio extremo,Transpassava as paredes de madeira, tu lembra?,E quando pelas palafitas,Caminhávamos com nosso amor no colo, foda, né?,Eu largadão, nem aí pro compromisso,E você mulher guerreira,Desculpa se a voz falhar,Mas quando eu lembro do nosso passado eu choro e oro,Pra espantar os demônios da tal tentação,Pois sei que exala feromônios e ostentação,Mas traição com quem me conduziu ao pódio é vacilação,Não pode não!,Deixa pra lá, põe pra rolar o Djavan,Pois hoje Deus nos permitiu, e d'Ele é o amanhã,E quem for contra o nosso amor,Que se envenene na mordida da própria maçã,Vamos brincar de amorzin, um bom vinho, um finin,Esquece do mundo,Taça com taça, tin tin, pra você e pra mim,Vida longa e boa,Nós acertamos na letra, a batida perfeita,A dama e o vagabundo,Quando se entrega pra mim, parece não ter fim,Porém o tempo voa,Vamos brincar de amorzin, um bom vinho, um finin,Esquece do mundo,Taça com taça, tin tin, pra você e pra mim,Vida longa e boa,Nós acertamos na letra, a batida perfeita,A dama e o vagabundo,Quando se entrega pra mim, parece não ter fim,Porém o tempo voa",Preta
Gaab,Funk,"Você já sabe qual é,Quando você ver o meu sinal,Tá na hora de meter o pé pra minha casa,E não é pra ir tomar café,Você já sabe qual é,É só ir seguindo a Marginal,Passa o Shopping Tatuapé, já tá em casa,E não é pra ir tomar café,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,Eu gosto quando você fica louca,Fica assanhada, fica toda solta,Não faz gracinha pra tirar a roupa,Quer vim por cima e comandar a porra toda,E por mim pode continuar,E por mim não tem porque parar,Se é o que cê quer fazer, então faça,Seguir todas regras deixa a vida sem graça,Eu não sei quem inventou a vodka,Mas, que invenção de outro patamar,Faço coisas que eu não faria,Por causa da hipocrisia eu não teria história pra contar,Quando eu te vi, eu tava bem louco,Pra te agarrar faltava bem pouco,Chá, docinho, uísque e água de coco,A poção de êxtase pro seu corpo,Você já sabe qual é,Quando você ver o meu sinal,Tá na hora de meter o pé pra minha casa,E não é pra ir tomar café,Você já sabe qual é,Tática ágil de persuasão,Mete o louco em quem tá no seu pé e vem pra minha casa,Lá você já sabe como é,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,Quando eu transo com ela, o teto vira chão,E a Lei do Retorno vira Lei da Atração,Então me diz, por que não hablas comigo?,Morena caliente, a sua buceta é um perigo!,Então me diz, por que não? Fica só mais um pouquinho!,Eu vim pela Engenheiro toda pensando em transar contigo,Camarote, lista VIP, open bar, camarim,Nada disso importa se eu tiver sozinho,Então, participa de uma parte da minha vida?,Em troca eu te dou um pedacinho da minha pica,E não complica, que eu não entro em bola dividida,Mas se eu entrar é pra desempatar a partida,Não quero saber aonde você tá,Nem me interessa com quem você tá,Só me interessa o horário que você vai chegar pra me dar,Ou qual posição nós vai transar,Você já sabe qual é,Quando você ver o meu sinal,Tá na hora de meter o pé pra minha casa,E não é pra ir tomar café,Você já sabe qual é,É só ir seguindo a Marginal,Passa o Shopping Tatuapé, já tá em casa,E não é pra ir tomar café,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca,(Tem café),Mas prefiro um chá que é pra relaxar e te deixar louca, maluca, chapada",Tem Café (part. MC Hariel)
MC Zaac,Funk,"Sabe o que faltou?,Faltou uma Catuaba de verdade, pra embrazar,Como é que eu vou falar da Catuaba,Se eu não tô bebendo?,Se juntou com a amiga,E foi lá pra casa,Abre a geladeira, pega a Catuaba,Depois de uns corte, ela ficou animada (caralho),Depois de uns corte, ela ficou animada,Fiquei sabendo que você é malcriada,Então, para,Já pode ficar pelada,Não repara,Que a casa tá bagunçada,Se tá travada, no meu som, ela destrava,Ainda mais que tu tem cara de safada,A noite é uma criança, daqui a pouco, vamo aí,Mas, aproveitando que o esquenta é aqui,Vai embrazando,Vai embrazando,Vai embrazando,Vai embrazando,Vai embrazando,Se juntou com a amiga,E foi lá pra casa,Abre a geladeira, pega a Catuaba,Depois de uns corte, ela ficou animada,Fiquei sabendo que você é malcriada,Então, para,Já pode ficar pelada,Não repara,Que a casa tá bagunçada,Se tá travada, no meu som, ela destrava,Ainda mais que você tem cara (não),Ainda mais que você é uma danada,Não é assim, não,Não é assim?,Não,Para,Já pode ficar pelada,Não repara,Que a casa tá bagunçada,Se tá travada, no meu som, ela destrava,Ainda mais que tu tem cara de safada,A noite é uma criança, daqui a pouco, vamo aí,Mas, aproveitando que o esquenta é aqui,Vai embrazando,Vai embrazando,Vai embrazando,Vai embrazando,Vai embrazando,Sabe o que faltou?,Faltou uma Catuaba de verdade, pra embrazar,Como é que eu vou falar da Catuaba,Se eu não tô bebendo?",Vai Embrazando (part. MC Vigary)
Mc Martinho,Funk,"Hoje, o Martinho conta uma história real,Que infelizmente não teve um bom final,Desde a periferia, até o asfalto,Essa história é contada por todo favelado,Dois corações unidos num sentimento,Novinha e guerreiro em um só fundamento,Mesmo no sofrimeto e na vida loka,Por ela, ele queria até sair da boca,Infelizmente foram vítimas de intrigas,Recalque de invejosos destruíram suas vidas,Felicidade alheia incomodou um milhão,Mexeu com a mente do guerreiro,Usando a conspiração,Assim dizia o perigoso elemento,Meu mano escuta só o que ela ta dizendo,Que não te ama mais e até rolou traição,Já era o recalcado envenenou a mente do irmão,E o guerreiro partiu atrás da mina,Com a hornet, de 9 na mão,Cheio de ódio pela tal traição,E tá de volta seu lado neuroticão,E quando a encontrou deu logo dois tirão,No peito que a derrubou,Com muita dor, chorando ela perguntou,Qual o motivo desses tiros, meu amor?,Triste ele lhe respondeu,Te dei o meu amor mesmo assim você me traiu,Foi nessa hora que a tua casa caiu,Desesperado ele ficou quando a ouviu, quando a ouviu,No último suspiro falou,Eu nunca te traí, quem sua mente envenenou?,Sua mãe chorando gritou quando ela morreu,Minha filha tava grávida de um filho teu, de um filho teu!,É, a moral da história eu ja vou contar,Não é em qualquer um que se deve acreditar,Ele acreditou e hoje chora demais,Seu grande amor não volta mais,Ele percebeu fatalmente atrasado,Que a semente do mal pode estar do seu lado,Fez chorar a mãe, 2 irmãos e o pai,Porque ela não volta mais!,Porque ela não volta mais!,Seu grande amor não volta mais!",História Real
Claudinho e Buchecha,Funk,"Quando você vem pra passar o fim de semana,Eu finjo estar tudo bem,Mesmo duro ou com grana,É que você ignora,Tudo que eu faço,Depois vai embora,Desatando os nossos laços,Quero te encontrar,Quero te amar,Você pra mim é tudo,Minha terra, meu céu, meu mar,Quero te encontrar,Quero te amar,Você pra mim é tudo,Minha terra, meu céu, meu mar,Quando você vem pra passar o fim de semana,Eu finjo estar tudo bem,,Mesmo duro ou com grana,É que você ignora,Tudo o que eu faço,Depois vai embora,Desatando nossos laços,Quero te encontrar,Quero te amar,Você pra mim é tudo,Minha terra, meu céu, meu mar,Quero te encontrar,Quero te amar,Você pra mim é tudo,Minha terra, meu céu, meu mar,É muita ousadia ter que percorrer,O país inteiro pra achar você,Mas tudo o que faço tem um bom motivo,Linda, eu te amo, vem ficar comigo,Estou alucinado com o seu olhar,Vou aonde for até te encontrar,Eu te amo demais, você é minha paz,Faz amor gostoso, de novo comigo, faz, faz,Quero te encontrar,Quero te amar,Você pra mim é tudo,Minha terra, meu céu, meu mar,Quero te encontrar,Quero te amar,Você pra mim é tudo,Minha terra, meu céu, meu mar",Quero Te Encontrar
MC Marcinho,Funk,"Glamourosa, rainha do funk,Poderosa, olhar de diamante,Nos envolve, nos fascina, agita o salão,Balança gostoso, requebrando até o chão,Glamourosa, rainha do funk,Poderosa, olhar de diamante,Nos envolve, nos fascina, agita o salão,Balança gostoso, requebrando até o chão,Se quiser falar de amor, fale com o Marcinho,Vou te lambuzar, te encher de carinho,Em matéria de amor todos me conhecem bem,Vou fazer tu vibrar no meu estilo vai e vem,Minha catita doida vou te dar beijo na boca,Beijar teu corpo inteiro, te deixar muito louca,Vêm, vêm dançar, empine o seu popozão,Remexe gostoso e vai descendo até o chão,Glamourosa, rainha do funk,Poderosa, olhar de diamante,Nos envolve, nos fascina, agita o salão,Balança gostoso requebrando até o chão,Glamourosa, rainha do funk,Poderosa, olhar de diamante,Nos envolve, nos fascina, agita o salão,Balança gostoso requebrando até o chão,Pretinha, moreninha, russa e loirinha,Me deixa doidinho quando dança a tremidinha,O funk do meu Rio se espalhou pelo Brasil,Até quem não gostava quando ouviu não resistiu,Mulheres saradas, lindas, deslumbrantes,Corpo de sereia, olhar bem excitante,Se tu não curte o funk pode crê, tá de bobeira,Bote uma beca esperta e se junte a nossa funkeira,Glamourosa, rainha do funk,Poderosa, olhar de diamante,Nos envolve, nos fascina, agita o salão,Balança gostoso requebrando até o chão,Glamourosa, rainha do funk,Poderosa, olhar de diamante,Nos envolve, nos fascina, agita o salão,Balança gostoso requebrando até o chão",Glamurosa
